#percentage  seed  absolute_enhancement  relative_enhancement
30 -53726 241.02677469604309727815 54.93553214827371457122
30 -53897 237.89264564881542570195 1808.30025696526903687673
30 -108158 296.11519748923498421402 4743.23089506820954292545
30 -54489 147.42747371747823031005 1985.90099903597734030771
30 -109278 164.59535932301607512968 773.72424775483042585350
30 -110664 402.23042974240841430824 42.65079505272933522369
30 -55582 306.98516312807947757279 924.54060064810258731053
30 -55740 350.08580936244656551995 474.96548154611165837676
30 -54435 247.18116123172508410460 114.20816997126476498972
30 -218260 337.78424046321729189402 392.59328165020580069064
30 -54788 348.26782578968660708596 427.08190931680097834339
30 -54982 357.53467338092244885444 982.65619753501686822747
30 -110164 419.70839381577966052467 331.06031527073457682322
30 -55191 160.59313389579001680629 5591.00481256709937531448
30 -55462 335.23201027075435878111 143.43274318944468018489
30 -55582 306.98516312807947757279 924.54060064810258731053
30 -55740 350.08580936244656551995 474.96548154611165837676
30 -55455 242.07003749347404329076 577.08160351287025409184
30 -55513 439.15162007078991456228 2476.78548045617370089461
30 -111192 457.10836830673215746372 148.04199893042783391684
30 -55732 475.90655088275650448393 110.09363021105222444136
30 -111618 147.52866067277239854072 398.44188124571380932578
30 -111782 181.50313423106026826957 1026.26505266569732603234
30 -111956 332.13841947212995943225 687.82552228304581631549
30 -224236 257.79337988972403870527 3691.98284572228929924483
30 -56126 291.65841249782797497627 587.94446721829978587778
30 -448816 330.53888771841171506208 245.08849187539299785018
30 -56147 427.80410484619222892541 407.35425563852969318834
30 -56200 349.94322569933443188160 4356.21102663387513427480
30 -56261 257.24727902636319684274 2021.22229763865608987767
30 -56319 271.69896219562298908777 539.32386277919427901202
30 -56344 236.80247033460264211128 1027.80445315740486030527
30 -56375 259.02808560706742642950 224.09994905463327723887
30 -56395 368.43778420441644519909 421.27310806465824786617
30 -56412 166.49438726245172950052 2709.18026020840440677178
30 -17835 166.58910032494079463167 730.35683566725871202142
30 -17835 166.58910032494079463167 730.35683566725871202142
30 -35672 443.99107519774377650194 194.56441655512847006143
30 -17847 350.94805812414327671670 1036.59653121819245106623
30 -27405 137.23321247624854840385 5850.35439910580215194638
30 -34348 339.55866461206436204499 347.42489731519255685874
30 -49230 313.11867858985905276954 2253.52954130189687490724
30 -30645 262.44477526336232699029 1298.42485914462889801385
30 -2563 390.75920247946412777760 20741.61884431908592593689
