 # row    column    phase
          12           2  0.272947115178150     
          12           3   4.86539198627152     
          12           4   4.17312311593066     
          12           5  0.200517714138436     
          12           6   3.18047562157810     
          12           7  0.438552676510056     
          12           8   5.93544290278089     
          12           9   5.60376838234992     
          12          10   2.96624554394397     
          12          11   3.47020784081768     
          12          12   3.30142841655751     
          12          13   3.61258510700868     
          12          14   2.71942117178144     
          12          15  0.694365198708029     
          12          16   4.31717191729372     
          12          17  0.412495874699558     
          12          18  0.561910487946322     
          12          19  0.446027331690031     
          12          20  0.425847287583464     
          13           1   4.95721492226867     
          13           2   3.62570764309353     
          13           3   1.71600035811281     
          13           4   4.47176441986263     
          13           5  0.661334046021319     
          13           6   1.56442344763281     
          13           7   3.86384418908690     
          13           8   2.56970941158269     
          13           9  0.111850146812961     
          13          10   2.82411288332807     
          13          11   3.33943073604810     
          13          12   2.49621441693278     
          13          13   2.83652917172908     
          13          14   3.83367386884259     
          13          15  0.576034393637186     
          13          16   1.42746071184629     
          13          17   5.40353952592449     
          13          18  0.482990167784493     
          13          19  0.592483396000952     
          13          20  0.371408458257952     
          14           1   6.07028294329232     
          14           2  0.405037820895343     
          14           3  0.413211445219034     
          14           4  0.925421986488663     
          14           5  0.970019010438814     
          14           6  0.868878468201598     
          14           7   1.94100252092373     
          14           8   2.43104588983985     
          14           9   3.22712380251608     
          14          10   3.46471885951697     
          14          11   3.40555282137469     
          14          12   3.02958066660943     
          14          13   3.05235102212471     
          14          14   5.12984920373460     
          14          15   5.78540197467078     
          14          16   5.13510174922674     
          14          17   3.94409658163011     
          14          18   3.44804517352326     
          14          19  0.107182475773552     
          14          20  0.297859828284781     
          15           1   1.29281266700872     
          15           2   3.61639694965266     
          15           3  0.471534569491499     
          15           4  0.991500164934830     
          15           5   1.08062290314315     
          15           6   1.02942964450985     
          15           7   2.30022140951669     
          15           8   2.42520447488274     
          15           9   3.26726941329058     
          15          10   3.36028214631253     
          15          11   3.41897481054544     
          15          12   3.33102353008942     
          15          13   3.35188655093651     
          15          14   4.29325028637378     
          15          15   5.04322356094550     
          15          16   4.77868793120519     
